Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g VT,total_n_g VT
asparagus-zebra-low-winner-floor-december,1,104, , ,89.30,1.364
asparagus-zebra-low-winner-floor-december,2,209, , ,119.13,1.962
asparagus-zebra-low-winner-floor-december,3,301, , ,121.00,1.886
asparagus-zebra-low-winner-floor-december,4,405, , ,111.17,1.954
asparagus-zebra-low-winner-floor-december,5,509, , , , 
asparagus-zebra-low-winner-floor-december,6,603, , , , 
asparagus-zebra-low-winner-floor-december,1,109, , ,107.43,1.602
asparagus-zebra-low-winner-floor-december,2,207, , ,111.87,1.725
asparagus-zebra-low-winner-floor-december,3,305, , ,97.73,1.577
asparagus-zebra-low-winner-floor-december,4,402, , ,77.80,1.299
asparagus-zebra-low-winner-floor-december,5,502, , , , 
asparagus-zebra-low-winner-floor-december,6,604, , , , 
asparagus-zebra-low-winner-floor-december,1,108,FL OZ/A,ATPLAN,119.50,1.835
asparagus-zebra-low-winner-floor-december,2,204,FL OZ/A,ATPLAN,122.60,1.935
asparagus-zebra-low-winner-floor-december,3,303,FL OZ/A,ATPLAN,111.87,1.600
asparagus-zebra-low-winner-floor-december,4,406,FL OZ/A,ATPLAN,93.43,1.490
asparagus-zebra-low-winner-floor-december,5,507,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,6,605,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,1,101,FL OZ/A,ATPLAN,96.93,1.578
asparagus-zebra-low-winner-floor-december,2,205,FL OZ/A,ATPLAN,89.97,1.465
asparagus-zebra-low-winner-floor-december,3,307,FL OZ/A,ATPLAN,100.77,1.482
asparagus-zebra-low-winner-floor-december,4,409,FL OZ/A,ATPLAN,99.27,1.271
asparagus-zebra-low-winner-floor-december,5,505,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,6,602,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,1,102, , ,92.53,1.377
asparagus-zebra-low-winner-floor-december,2,208, , ,90.53,1.506
asparagus-zebra-low-winner-floor-december,3,306, , ,95.60,1.698
asparagus-zebra-low-winner-floor-december,4,401, , ,80.33,1.120
asparagus-zebra-low-winner-floor-december,5,503, , , , 
asparagus-zebra-low-winner-floor-december,6,608, , , , 
asparagus-zebra-low-winner-floor-december,1,103,FL OZ/A,ATPLAN,94.00,1.478
asparagus-zebra-low-winner-floor-december,2,206,FL OZ/A,ATPLAN,101.73,1.136
asparagus-zebra-low-winner-floor-december,3,308,FL OZ/A,ATPLAN,107.83,1.904
asparagus-zebra-low-winner-floor-december,4,403,FL OZ/A,ATPLAN,92.30,1.389
asparagus-zebra-low-winner-floor-december,5,506,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,6,609,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,1,107,FL OZ/A,ATPLAN,106.20,1.805
asparagus-zebra-low-winner-floor-december,2,202,FL OZ/A,ATPLAN,113.47,1.527
asparagus-zebra-low-winner-floor-december,3,304,FL OZ/A,ATPLAN,119.57,1.694
asparagus-zebra-low-winner-floor-december,4,407,FL OZ/A,ATPLAN,113.73,1.714
asparagus-zebra-low-winner-floor-december,5,508,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,6,601,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,1,106,FL OZ/A,ATPLAN,97.13,1.393
asparagus-zebra-low-winner-floor-december,2,201,FL OZ/A,ATPLAN,117.50,2.198
asparagus-zebra-low-winner-floor-december,3,309,FL OZ/A,ATPLAN,102.13,1.611
asparagus-zebra-low-winner-floor-december,4,404,FL OZ/A,ATPLAN,71.40,0.941
asparagus-zebra-low-winner-floor-december,5,504,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,6,607,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,1,105,FL OZ/A,ATPLAN,123.07,1.787
asparagus-zebra-low-winner-floor-december,2,203,FL OZ/A,ATPLAN,101.47,1.529
asparagus-zebra-low-winner-floor-december,3,302,FL OZ/A,ATPLAN,94.00,1.592
asparagus-zebra-low-winner-floor-december,4,408,FL OZ/A,ATPLAN,107.23,1.384
asparagus-zebra-low-winner-floor-december,5,501,FL OZ/A,ATPLAN, , 
asparagus-zebra-low-winner-floor-december,6,606,FL OZ/A,ATPLAN, , 
