Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7
lactose-solar-friend-one-river-texas,1,109, , ,4.3,0.169
lactose-solar-friend-one-river-texas,2,201, , ,1.96,0.075
lactose-solar-friend-one-river-texas,3,306, , ,3.34,0.124
lactose-solar-friend-one-river-texas,4,409, , ,3.06,0.124
lactose-solar-friend-one-river-texas,1,108, , ,4.66,0.203
lactose-solar-friend-one-river-texas,2,204, , ,2.82,0.118
lactose-solar-friend-one-river-texas,3,302, , ,4.32,0.168
lactose-solar-friend-one-river-texas,4,406, , ,3.06,0.124
lactose-solar-friend-one-river-texas,1,103,FL OZ/A,ATPLAN,3.08,0.12
lactose-solar-friend-one-river-texas,2,208,FL OZ/A,ATPLAN,3.2,0.129
lactose-solar-friend-one-river-texas,3,303,FL OZ/A,ATPLAN,3.94,0.164
lactose-solar-friend-one-river-texas,4,401,FL OZ/A,ATPLAN,2.2,0.089
lactose-solar-friend-one-river-texas,1,105,FL OZ/A,ATPLAN,3.8,0.168
lactose-solar-friend-one-river-texas,2,202,FL OZ/A,ATPLAN,2.56,0.093
lactose-solar-friend-one-river-texas,3,307,FL OZ/A,ATPLAN,3.0,0.123
lactose-solar-friend-one-river-texas,4,402,FL OZ/A,ATPLAN,1.56,0.059
lactose-solar-friend-one-river-texas,1,102, , ,2.64,0.102
lactose-solar-friend-one-river-texas,2,206, , ,3.16,0.117
lactose-solar-friend-one-river-texas,3,301, , ,3.38,0.136
lactose-solar-friend-one-river-texas,4,408, , ,3.46,0.143
lactose-solar-friend-one-river-texas,1,107,FL OZ/A,ATPLAN,3.3,0.138
lactose-solar-friend-one-river-texas,2,205,FL OZ/A,ATPLAN,2.6,0.104
lactose-solar-friend-one-river-texas,3,308,FL OZ/A,ATPLAN,3.62,0.151
lactose-solar-friend-one-river-texas,4,404,FL OZ/A,ATPLAN,2.18,0.091
lactose-solar-friend-one-river-texas,1,104,FL OZ/A,ATPLAN,2.96,0.114
lactose-solar-friend-one-river-texas,2,207,FL OZ/A,ATPLAN,3.44,0.147
lactose-solar-friend-one-river-texas,3,305,FL OZ/A,ATPLAN,3.6,0.133
lactose-solar-friend-one-river-texas,4,403,FL OZ/A,ATPLAN,2.2,0.085
lactose-solar-friend-one-river-texas,1,106,FL OZ/A,ATPLAN,3.76,0.153
lactose-solar-friend-one-river-texas,2,203,FL OZ/A,ATPLAN,2.3,0.094
lactose-solar-friend-one-river-texas,3,309,FL OZ/A,ATPLAN,3.8,0.15
lactose-solar-friend-one-river-texas,4,405,FL OZ/A,ATPLAN,2.38,0.097
lactose-solar-friend-one-river-texas,1,101,FL OZ/A,ATPLAN,2.74,0.121
lactose-solar-friend-one-river-texas,2,209,FL OZ/A,ATPLAN,3.3,0.145
lactose-solar-friend-one-river-texas,3,304,FL OZ/A,ATPLAN,3.42,0.131
lactose-solar-friend-one-river-texas,4,407,FL OZ/A,ATPLAN,3.04,0.122
