Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
lion-uncle-march-lactose-mexico-vegan,1,104, , ,11.1,0.351,112.60,2.241
lion-uncle-march-lactose-mexico-vegan,2,207, , ,11.68,0.396,99.63,1.793
lion-uncle-march-lactose-mexico-vegan,3,303, , ,10.9,0.38, , 
lion-uncle-march-lactose-mexico-vegan,4,405, , ,12.92,0.453,91.17,0.957
lion-uncle-march-lactose-mexico-vegan,1,106, , ,10.48,0.309,101.83,1.212
lion-uncle-march-lactose-mexico-vegan,2,204, , ,12.32,0.365,91.70,1.064
lion-uncle-march-lactose-mexico-vegan,3,301, , ,10.36,0.333, , 
lion-uncle-march-lactose-mexico-vegan,4,407, , ,12.74,0.434,93.20,1.193
lion-uncle-march-lactose-mexico-vegan,1,107,FL OZ/A,ATPLAN,9.86,0.285,90.70,1.379
lion-uncle-march-lactose-mexico-vegan,2,205,FL OZ/A,ATPLAN,10.62,0.329,91.43,1.518
lion-uncle-march-lactose-mexico-vegan,3,306,FL OZ/A,ATPLAN,12.16,0.401, , 
lion-uncle-march-lactose-mexico-vegan,4,402,FL OZ/A,ATPLAN,13.16,0.43,75.73,0.894
lion-uncle-march-lactose-mexico-vegan,1,109,FL OZ/A,ATPLAN,11.64,0.35,93.53,1.094
lion-uncle-march-lactose-mexico-vegan,2,208,FL OZ/A,ATPLAN,10.4,0.33,101.53,1.421
lion-uncle-march-lactose-mexico-vegan,3,307,FL OZ/A,ATPLAN,11.54,0.41, , 
lion-uncle-march-lactose-mexico-vegan,4,404,FL OZ/A,ATPLAN,14.26,0.532,95.17,1.190
lion-uncle-march-lactose-mexico-vegan,1,105, , ,9.44,0.27,100.27,1.283
lion-uncle-march-lactose-mexico-vegan,2,209, , ,10.22,0.297,109.33,1.662
lion-uncle-march-lactose-mexico-vegan,3,302, , ,10.88,0.376, , 
lion-uncle-march-lactose-mexico-vegan,4,408, , ,12.14,0.391,98.77,1.047
lion-uncle-march-lactose-mexico-vegan,1,101,FL OZ/A,ATPLAN,10.68,0.329,77.03,0.917
lion-uncle-march-lactose-mexico-vegan,2,202,FL OZ/A,ATPLAN,11.2,0.344,84.87,1.154
lion-uncle-march-lactose-mexico-vegan,3,308,FL OZ/A,ATPLAN,11.68,0.384,83.37,1.092
lion-uncle-march-lactose-mexico-vegan,4,409,FL OZ/A,ATPLAN,14.02,0.46,77.10,0.709
lion-uncle-march-lactose-mexico-vegan,1,103,FL OZ/A,ATPLAN,12.34,0.37,99.77,1.267
lion-uncle-march-lactose-mexico-vegan,2,206,FL OZ/A,ATPLAN,10.48,0.31,100.20,1.523
lion-uncle-march-lactose-mexico-vegan,3,305,FL OZ/A,ATPLAN,10.04,0.337, , 
lion-uncle-march-lactose-mexico-vegan,4,403,FL OZ/A,ATPLAN,13.88,0.502,71.97,1.065
lion-uncle-march-lactose-mexico-vegan,1,108,FL OZ/A,ATPLAN,10.74,0.33,91.87,1.341
lion-uncle-march-lactose-mexico-vegan,2,201,FL OZ/A,ATPLAN,10.04,0.33,98.40,1.171
lion-uncle-march-lactose-mexico-vegan,3,309,FL OZ/A,ATPLAN,14.4,0.514,80.93,0.931
lion-uncle-march-lactose-mexico-vegan,4,406,FL OZ/A,ATPLAN,10.76,0.4,90.10,1.018
lion-uncle-march-lactose-mexico-vegan,1,102,FL OZ/A,ATPLAN,12.12,0.365,93.07,1.238
lion-uncle-march-lactose-mexico-vegan,2,203,FL OZ/A,ATPLAN,11.16,0.328,97.17,1.535
lion-uncle-march-lactose-mexico-vegan,3,304,FL OZ/A,ATPLAN,12.86,0.476, , 
lion-uncle-march-lactose-mexico-vegan,4,401,FL OZ/A,ATPLAN,14.16,0.507,70.30,1.055
